pop_size,crossover,crossover_prob,mutation,mutation_prob,F1,F2,F3
50,HUX,0.0,BFM,0.01,2.0, 132.0, 23911.862997881926
50,HUX,0.0,BFM,0.01,8.0, 80.0, 5813.73556714853
50,HUX,0.0,BFM,0.01,3.0, 98.0, 9442.890268870551
50,HUX,0.0,BFM,0.01,7.0, 78.0, 5855.094163995039
50,HUX,0.0,BFM,0.05,6.0, 82.0, 5899.117767333966
50,HUX,0.0,BFM,0.05,1.0, 196.0, 67880.3635706255
50,HUX,0.0,BFM,0.05,4.0, 86.0, 7191.4970823983895
50,HUX,0.0,BFM,0.05,2.0, 140.0, 23634.060564167856
50,HUX,0.0,BFM,0.05,3.0, 98.0, 9442.890268870551
50,HUX,0.0,BFM,0.05,10.0, 78.0, 5439.440344912021
50,HUX,0.0,BFM,0.05,4.0, 88.0, 7140.984939783078
50,HUX,0.0,BFM,0.05,8.0, 82.0, 5836.045645757212
50,HUX,0.0,BFM,0.05,5.0, 84.0, 6188.995497914003
50,HUX,0.0,BFM,0.05,7.0, 80.0, 6209.78588216423
50,HUX,0.0,BFM,0.05,2.0, 132.0, 23911.862997881926
50,HUX,0.0,BFM,0.1,6.0, 82.0, 5899.117767333966
50,HUX,0.0,BFM,0.1,3.0, 98.0, 9442.890268870551
50,HUX,0.0,BFM,0.1,1.0, 196.0, 67880.3635706255
50,HUX,0.0,BFM,0.1,7.0, 80.0, 6209.78588216423
50,HUX,0.0,BFM,0.1,5.0, 84.0, 6188.995497914003
50,HUX,0.0,BFM,0.1,4.0, 86.0, 6830.604633521283
50,HUX,0.0,BFM,0.1,2.0, 132.0, 23911.862997881926
50,HUX,0.0,BFM,0.1,7.0, 82.0, 5738.80448825047
50,HUX,0.0,BFM,0.1,2.0, 134.0, 21536.60069810438
50,HUX,0.0,BFM,0.1,11.0, 80.0, 5994.067686464548
50,HUX,0.0,IM,0.01,6.0, 82.0, 5899.117767333966
50,HUX,0.0,IM,0.01,2.0, 132.0, 23911.862997881926
50,HUX,0.0,IM,0.01,3.0, 98.0, 9442.890268870551
50,HUX,0.0,IM,0.01,2.0, 140.0, 23634.060564167856
50,HUX,0.0,IM,0.01,5.0, 82.0, 5978.13916086702
50,HUX,0.0,IM,0.01,1.0, 196.0, 67880.3635706255
50,HUX,0.0,IM,0.01,4.0, 86.0, 6830.604633521283
50,HUX,0.0,IM,0.01,7.0, 78.0, 5391.678885263456
50,HUX,0.0,IM,0.05,6.0, 82.0, 5899.117767333966
50,HUX,0.0,IM,0.05,2.0, 140.0, 23634.060564167856
50,HUX,0.0,IM,0.05,4.0, 86.0, 7191.4970823983895
50,HUX,0.0,IM,0.05,1.0, 196.0, 67880.3635706255
